通知人,标题,日期,链接
实践科,关于举办福州大学第五届先进成图技术与产品信息建模创新大赛的通知,"
2025-03-06
         ",../info/1039/13900.htm
实践科,关于举办福州大学第十四届大学生软件设计与服务外包创新创业竞赛的通知,"
2025-03-06
         ",../info/1039/13898.htm
实践科,关于做好创新创业实践与素质拓展学分认定工作的通知,"
2025-03-04
         ",../info/1039/13893.htm
计划科,关于公布2024-2025学年第二学期通选课取消开课名单的通知,"
2025-03-03
         ",../info/1038/13890.htm
综合科,关于2024-2025学年第二学期本科生学生证补办和火车票优惠区间更改的通知,"
2025-02-24
         ",../info/1035/13884.htm
质量办,关于推荐遴选校级本科教学督导员的通知,"
2025-02-24
         ",../info/1040/13883.htm
质量办,关于开学第一周集中听课的通知,"
2025-02-23
         ",../info/1040/13882.htm
教学运行,关于2024-2025第二学期学期选课、辅修选课补退选和缴费的通知,"
2025-02-23
         ",../info/1036/13881.htm
计划科,关于2024-2025学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,"
2025-02-22
         ",../info/1038/13880.htm
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025春》宣讲会及选课的通知,"
2025-02-22
         ",../info/1038/13879.htm
计划科,关于2024级学生参加2024-2025学年第二学期《大学生国家安全教育》课程学习的通知,"
2025-02-22
         ",../info/1038/13878.htm
计划科,关于2024-2025学年第二学期通识教育选修课选课的通知,"
2025-02-22
         ",../info/1038/13877.htm
教材中心,关于2024-2025学年第二学期教材发放的通知,"
2025-02-22
         ",../info/1042/13876.htm
综合科,关于召开2024-2025学年春季学期期初本科教育教学工作会议的通知,"
2025-02-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13875
综合科,教务处关于2025年寒假用印安排的通知,"
2025-01-18
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13871
教研教改,福州大学关于收集线上课程资源需求的通知（2025年）,"
2025-01-15
         ",../info/1037/13861.htm
实践科,关于做好第三十一期本科生科研训练计划项目立项申报工作的通知,"
2025-01-13
         ",../info/1039/13858.htm
计划科,关于印发《福州大学本科生课程替代与学分认定管理实施办法》的通知,"
2025-01-10
         ",../info/1038/13857.htm
教学运行,关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,"
2025-01-08
         ",../info/1036/13853.htm
教学运行,关于2024-2025学年第二学期辅修专业选课的通知,"
2025-01-07
         ",../info/1036/13852.htm
教学运行,关于2025届预计毕业生校对电子注册学历照片的通知,"
2025-01-07
         ",../info/1036/13851.htm
教学通知,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,"
2025-01-04
         ",../info/1012/13848.htm
综合科,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,"
2025-01-04
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13847
计划科,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,"
2025-01-02
         ",../info/1038/13841.htm
教学运行,福州大学关于印发授予普通全日制学生学士学位工作细则的通知,"
2024-12-31
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842
教材中心,关于开展2025年拟出版本科教材审核工作的通知,"
2024-12-31
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840
实践科,关于对2024年学院教学有关数据进行统计的通知,"
2024-12-30
         ",../info/1039/13836.htm
实践科,关于举办福州大学第十一届桥梁设计大赛的通知,"
2024-12-30
         ",../info/1039/13834.htm
教学运行,关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,"
2024-12-29
         ",../info/1036/13833.htm
教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,"
2024-12-29
         ",../info/1036/13831.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2024-12-27
         ",../info/1036/13820.htm
教材中心,关于开展本科教材工作自查的通知,"
2024-12-25
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819
教学运行,关于2024-2025学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,"
2024-12-25
         ",../info/1036/13815.htm
教学运行,关于2024-2025学年第一学期《大学英语（二）》课程期末考试安排的通知,"
2024-12-25
         ",../info/1036/13814.htm
教学运行,关于2024-2025学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,"
2024-12-25
         ",../info/1036/13813.htm
教学运行,关于2025年元旦放假课程调整的通知,"
2024-12-25
         ",../info/1036/13812.htm
质量办,关于举办福州大学第六十三场“教学有道”研讨活动的通知,"
2024-12-24
         ",../info/1040/13810.htm
实践科,关于公布2024年福州大学大学生工程实践与创新能力大赛获奖名单的通知,"
2024-12-24
         ",../info/1039/13808.htm
教学运行,关于2024-2025学年第一学期《思想道德与法治》课程期末考试安排的通知,"
2024-12-24
         ",../info/1036/13806.htm
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,"
2024-12-24
         ",../info/1036/13805.htm
教学运行,关于2024-2025学年第二学期本科生学期选课的通知,"
2024-12-23
         ",../info/1036/13804.htm
质量办,关于制定学院本科教学督导工作管理实施办法的通知,"
2024-12-18
         ",../info/1040/13801.htm
质量办,关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,"
2024-12-18
         ",../info/1040/13797.htm
教学运行,关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,"
2024-12-17
         ",../info/1036/13796.htm
教学运行,关于2024-2025学年第一学期《大学英语（四）》课程期末考试安排的通知,"
2024-12-17
         ",../info/1036/13795.htm
教学运行,关于2024-2025学年第一学期计算机语言类课程期末考试安排的通知,"
2024-12-13
         ",../info/1036/13792.htm
教材中心,关于公布福州大学2024年本科数字教材建设立项项目的通知,"
2024-12-12
         ",../info/1042/13837.htm
实践科,关于做好2025届本科生毕业设计（论文）工作的通知,"
2024-12-12
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13791
综合科,关于评选2024年优秀教学管理人员的通知,"
2024-12-12
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13790
实践科,关于做好2024年省级以上大学生创新训练计划项目和第三十期本科生科研训练计划项目中期检查工作的通知,"
2024-12-09
         ",../info/1039/13784.htm
质量办,关于举办福州大学第六十二场“教学有道” 研讨活动的通知,"
2024-12-05
         ",../info/1040/13783.htm
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程期末考试安排的通知,"
2024-12-04
         ",../info/1036/13780.htm
教学运行,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,"
2024-12-03
         ",../info/1036/13779.htm
实践科,关于举办第十五届全国大学生电子商务“三创赛”福州大学校赛的通知,"
2024-12-02
         ",../info/1039/13778.htm
计划科,关于2024-2025学年第二学期修读辅修专业学生名单的公示,"
2024-12-02
         ",../info/1038/13777.htm
实践科,关于组织参加2025年美国大学生数学建模竞赛（MCM/ICM）通知,"
2024-11-29
         ",../info/1039/13773.htm
实践科,关于组织申报2024年高校双碳实践育人案例的通知,"
2024-11-28
         ",../info/1039/13772.htm
质量办,关于举办福州大学第六十一场“教学有道” 研讨活动的通知,"
2024-11-26
         ",../info/1040/13769.htm
质量办,关于举办福州大学第六十场“教学有道”研讨活动的通知,"
2024-11-25
         ",../info/1040/13768.htm
教学运行,关于2024-2025学年第一学期《工程制图E》课程期末考试安排的通知,"
2024-11-22
         ",../info/1036/13766.htm
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程期末考试安排的通知,"
2024-11-22
         ",../info/1036/13765.htm
教材中心,关于开展2024年本科数字教材建设立项工作的通知,"
2024-11-21
         ",../info/1042/13763.htm
实践科,关于公布第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,"
2024-11-19
         ",../info/1039/13761.htm
教材中心,关于做好2024-2025学年第二学期教材选用与征订工作的通知,"
2024-11-15
         ",../info/1042/13760.htm
综合科,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,"
2024-11-15
         ",../info/1035/13759.htm
质量办,关于举办福州大学第五十九场“教学有道” 研讨活动的通知,"
2024-11-14
         ",../info/1040/13758.htm
实践科,关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,"
2024-11-13
         ",../info/1039/13754.htm
教学运行,关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,"
2024-11-12
         ",../info/1036/13752.htm
计划科,关于组织申报2024-2025学年第二学期通识教育选修课的通知,"
2024-11-11
         ",../info/1038/13750.htm
教材中心,关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,"
2024-11-11
         ",../info/1042/13749.htm
教学运行,关于公布2024学年各学院转专业实施细则的通知,"
2024-11-08
         ",../info/1036/13748.htm
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,"
2024-11-07
         ",../info/1036/13746.htm
